,,外江水位,流量,,,,,,,,,,,,
,,m,第1年,第3年,第i年,,,水位,第1年,第3年,第i年,,,,
,,1,5,4,3,2,0.4,1,0.5,0.4,0.3,,,0.2,0.4
,,2,7,6,5,2,0.285714286,2,0.7,0.6,0.5,,,0.2,0.285714286
,,3,8,8,7,1,0.125,3,0.8,0.8,0.7,,,0.1,0.125
,,4,10,9,8,2,0.2,4,1,0.9,0.8,,,0.2,0.2
,,5,15,13,11,4,0.266666667,5,1.5,1.3,1.1,,,0.4,0.266666667
,,6,20,18,16,4,0.2,6,2,1.8,1.6,,,0.4,0.2
,,7,25,24,19,6,0.24,7,2.5,2.4,1.9,,,0.6,0.24
,,8,30,28,23,7,0.233333333,8,3,2.8,2.3,,,0.7,0.233333333
,,9,36,35,26,10,0.277777778,9,3.6,3.5,2.6,,,1,0.277777778
,,10,40,38,30,10,0.25,10,4,3.8,3,,,1,0.25
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
堤防在役减压井淤堵状态在线智能诊断和自动预警系统,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,功能要求,可实现外江水位和井流量关联行程如图曲线，同时可实现表格数据下载，,,,,,,,,,,,,,
,,软件可手机登录使用或电脑登录使用，用户权限两类（管理员和客户）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
